(C) University of Turku 2018
https://www.utu.fi/sites/default/files/public%3A//media/file/val2018_all_1418.pdf
Ohjelma
Arkeologia
"Arkeologia, kulttuurihistoria, Suomen historia ja yleinen historia"
"Asiantuntijaorganisaatioiden liiketoimintaosaamisen maist.ohj., Pori"
Biokemia
Biokemian tutkinto-ohjelma (FM)
Biologia
Biolääketieteen koulutusohjelma
Biotekniikan tutkinto-ohjelma (DI)
Biotekniikka
Ekologian ja evoluutiobiologian tutkinto-ohjelma (FM)
Elintarvikekemian tutkinto-ohjelma (FM)
Englannin kieli
Espanja
Filosofia
Folkloristiikka
"Folkloristiikka, kansatiede ja uskontotiede"
Fysiikan opettajan tutkinto-ohjelma (FM)
Fysikaaliset tieteet
Fysikaalisten tieteiden tutkinto-ohjelma (FM)
Fysiologian ja genetiikan tutkinto-ohjelma (FM)
Geologia
Geologian tutkinto-ohjelma (FM)
Hammaslääketiede
International Master in Management of IT (yhteistutkinto)
Italia
Johtaminen ja organisointi
"Johtaminen ja organisointi, Pori"
Kansainvälinen liiketoiminta
Kansatiede
Kasvatustieteen (varhaiskasvatuksen) maisteriohjelma
Kasvatustieteiden koulutus
"Kasvatustieteiden koulutus, aikuiskasvatustiede"
"Kasvatustieteiden koulutus, erityispedagogiikka"
"Kasvatustieteiden koulutus, kasvatustiede"
Kaupan ja palvelujen maisteriohjelma
"Kauppatieteet, erillisvalinta KTK-tutkinnon perusteella"
"Kauppatieteet, kansainvälisen johtamisen ja yrittäjyyden tutkinto-ohjelma"
"Kauppatieteet, Pori"
"Kauppatieteet, Turku"
Kemia
Kemian tutkinto-ohjelma (FM)
Kielen oppimisen ja opettamisen tutkinto-ohjelma
Kieliasiantuntijuuden tutkinto-ohjelma
Kirjallisuustieteet
Klassilliset kielet ja antiikin kulttuuri
Kotimainen kirjallisuus
Koulutussosiologian ja -politiikan maisteriohjelma
Kreikkalainen filologia
Kulttuurihistoria
"Kulttuurihistoria, Suomen historia ja yleinen historia"
"Kulttuurituotannon ja maisemantutkimuksen koul.ohj., Pori"
Laskentatoimi ja rahoitus
"Laskentatoimi ja rahoitus, Pori"
"Lastentarhanopettajan koulutus, Rauma"
Latinalainen filologia
Logopedia
"Luokanopettajan koulutus, Rauma"
"Luokanopettajan koulutus, Turku"
Maantiede
Maantieteen tutkinto-ohjelma (FM)
Markkinointi
"Markkinointi, Pori"
Master's Degree Pathway in Popular Culture Studies
Matematiikan tutkinto-ohjelma (FM)
Matematiikka ja tilastotiede
Mediatutkimus
"Mediatutkimus, musiikkitiede ja taidehistoria"
Molekulaarisen biotekniikan ja diagnostiikan tutkinto-ohjelma (FM)
Molekulaarisen kasvibiologian ja bioenergetiikan tutkinto-ohjelma (FM)
Molekulaarisen solubiologian tutkinto-ohjelma (FM)
Monikielisen käännösviestinnän tutkinto-ohjelma
Musiikkitiede
Nais- ja sukupuolentutkimuksen maisteriohjelma
Ohjelmistotekniikan tutkinto-ohjelma (muuntokoulutus) (DI)
Oikeustieteen maisterin koulutus
Pohjoismaiset kielet
Poliittinen historia
Poliittinen historia ja valtio-oppi
Politiikan tutkimus
Psykologia
Ranska
Saksan kieli
Sosiaalipolitiikka
Sosiaalitieteet
Sosiaalityö
Sosiologia
Suomen historia
Suomen ja sen sukukielten maisteriohjelma
Suomen kieli ja suomalais-ugrilainen kielentutkimus
Suomen kieli ja suomalais-ugrilainen kielentutkimus/suomen kieli
Taidehistoria
Talousmaantiede
Taloussosiologia
Taloustiede (KTM)
Taloustiede (VTM)
Taloustieteiden kvantitatiiviset menetelmät
Tekoälyn tutkinto-ohjelma (muuntokoulutus) (FM)
Teoreettisen fysiikan tutkinto-ohjelma (FM)
Terveyden biotieteiden koulutusohjelma
Terveystieteiden koulutus
Tietojenkäsittelytieteet
Tietojenkäsittelytieteiden tutkinto-ohjelma (FM)
Tietojärjestelmätiede (FM)
Tietojärjestelmätiede (KTM)
Tietotekniikan tutkinto-ohjelma (DI)
Tietotekniikan tutkinto-ohjelma (Master's Programme in Information and Comm. Tech.) (yhteistutkinto)
Tietotekniikka
Tilastotieteen tutkinto-ohjelma (FM)
Toimitusketjujen johtaminen
Turun kauppakorkeakoulu
Uskontotiede
Valtio-oppi
Venäjän kieli
Yleinen historia
Yleinen kirjallisuustiede
Ympäristötieteen tutkinto-ohjelma (LuK)
Yrittäjyys
Yritysjuridiikka
