CC-BY 4.0 avoindata.fi
https://www.avoindata.fi/data/fi/dataset/none/resource/e5d91e90-f603-46f9-94db-18a37348510b
Etunimi-nainen
Maria
Helena
Anneli
Johanna
Kaarina
Marjatta
Hannele
Kristiina
Liisa
Emilia
Elina
Tuulikki
Sofia
Annikki
Maarit
Susanna
Leena
Katariina
Anna
Marja
Sinikka
Inkeri
Riitta
Kyllikki
Aino
Tuula
Anne
Päivi
Orvokki
Ritva
Tellervo
Maija
Karoliina
Pirjo
Pauliina
Minna
Sari
Irmeli
Eeva
Tiina
Eveliina
Laura
Marika
Elisabet
Tarja
Pirkko
Satu
Anja
Mari
Hanna
Seija
Heidi
Marita
Annika
Sirpa
Eila
Raija
Jaana
Irene
Sisko
Sanna
Anita
Ilona
Eija
Kirsi
Marianne
Julia
Amanda
Merja
Katriina
Arja
Ulla
Matilda
Anni
Kaisa
Paula
Elisabeth
Marketta
Marjaana
Tuulia
Sirkka
Terttu
Elisa
Linnea
Olivia
Aurora
Jenni
Helmi
Katja
Iida
Heli
Mirjami
Emma
Kirsti
Hilkka
Nina
Mirja
Raili
Anniina
Maaria
Katri
Birgitta
Sara
Kaija
Ida
Suvi
Ella
Marjut
Riikka
Anu
Aleksandra
Tuija
Saara
Alexandra
Kerttu
Lea
Niina
Pia
Aila
Irma
Kristina
Leila
Noora
Marjo
Marja-Leena
Tanja
Jenna
Irja
Henna
Aulikki
Veera
Margareta
Kati
Lotta
Hellevi
Marja-Liisa
Ellen
Mirjam
Elsa
Elli
Maritta
Outi
Milla
Anna-Liisa
Alina
Taina
Emmi
Mervi
Päivikki
Miia
Helinä
Virpi
Erika
Siiri
Venla
Jonna
Sini
Vilhelmiina
Margit
Tiia
Aada
Sonja
Aune
Sanni
Jasmin
Josefiina
Terhi
Vilma
Oona
Mia
Linda
Maire
Mira
Alisa
Lilja
Roosa
Teija
Nea
Martta
Eliisa
Esteri
Essi
Carita
Viivi
Piia
Hillevi
Airi
Christina
Iiris
Taru
Marjukka
Krista
Petra
Aili
Tuuli
Vuokko
Iina
Juulia
Annukka
Marie
Viola
Silja
Eva
Mikaela
Helvi
Inka
Jenny
Henriikka
Salla
Isabella
Enni
Susanne
Erja
Pinja
Aliisa
Riina
Onerva
Milja
Camilla
Katarina
Reetta
Sylvia
Ronja
Alice
Lyydia
Eerika
Maija-Liisa
Toini
Ester
Elena
Elise
Jessica
Elvi
Salme
Anitta
Eevi
Soile
Meri
Meeri
Cecilia
Asta
Minttu
Saana
Hilja
Amalia
Talvikki
Aira
